,index,TIC_ID,Teff,e_Teff,ra,dec,d,e_d
0,177,376353509,4836.0,125.032,45.40098119,69.22990013,69.835,0.1643
1,200,102672709,6141.0,223.518,61.73104316,66.11962216,209.153,1.7115
2,170,408618999,5656.0,122.561,43.43502024,69.10140701,88.9482,0.32085
3,201,103195323,7437.0,138.239,62.57304805,75.17090108,378.684,3.58
4,182,458914949,7846.0,210.444,48.42329364,61.90788292,563.997,11.627
5,210,103448870,5734.0,157.223,66.8346835,73.0238567,124.854,0.461
6,229,468828873,6064.0,132.084,91.87226195,66.85785449,281.902,4.53
7,191,104208182,3948.0,157.0,54.50198098,50.95548595,142.042,0.498
8,86,50120414,9503.0,123.0,39.89113252,62.43331131,742.441,16.128
9,84,249945230,4582.0,131.029,38.80945339,48.27418638,51.0409,0.10865
10,199,73104318,5029.66,16.66,61.72147691,58.4655167,201.645,1.3645
11,175,251384275,8494.0,,44.7202702,58.73524977,328.658,
12,183,82010657,7519.0,236.842,48.75292685,60.23823134,282.1,4.316
13,202,267694283,6324.0,127.626,63.23003749,53.68718555,106.477,0.6835
14,205,85031598,4815.0,122.0,65.34580009,62.24575429,87.5878,0.34815
15,188,285677945,6304.0,220.6,53.09897299,50.49903069,317.968,4.8455
16,197,87090944,5919.66,109.004,58.48597025,58.96859643,197.14,2.989
17,169,302773669,5969.0,136.663,42.43536123,71.75323117,78.0863,0.239
18,212,9837861,5235.54,16.3411,70.5485585,54.2920691,299.399,4.3855
19,220,321041369,5672.47,145.383,81.67135066,56.96359053,153.896,0.7695
20,209,27677846,5304.0,122.991,66.37050774,46.36586092,78.7137,0.33005
21,168,51024887,2990.0,158.0,42.15414606,62.18970895,41.5305,0.15765
22,179,81831095,7478.0,216.451,47.80666499,61.76239114,399.401,5.3
23,215,121966220,5843.0,170.189,75.79773644,41.78583221,472.704,9.135
24,218,142090065,7072.0,131.169,79.07365908,79.73767064,182.907,1.2905
25,364,158002130,4700.0,121.48,214.5530983,82.19404358,72.0238,0.13235
26,26,191146556,6271.0,126.062,8.304434468,46.34033443,282.833,3.011
27,81,249862365,6208.0,172.885,38.12272439,52.70428905,184.69,1.2895
28,72,250724252,9078.0,,33.50522978,53.12154035,574.869,
29,198,266500992,5411.0,153.899,61.17219242,52.2570638,165.314,0.987
30,355,288132261,6124.0,126.553,209.4850503,79.58318954,154.944,0.521
31,187,316254876,5551.0,296.84,51.98866849,54.86568631,248.563,2.359
32,903,317597583,5427.0,117.871,352.0167664,75.55275492,66.0929,0.12895
33,908,367858035,5169.0,121.543,354.7430201,75.68512336,96.6215,0.34215
34,295,372757221,6389.0,124.379,162.8932354,81.32221276,221.071,4.997
35,64,395393265,6688.0,148.615,26.33840899,77.79017317,303.006,3.0795
36,173,396562848,3414.0,157.0,44.3260797,76.55312508,18.2276,0.011
37,17,407394748,7205.0,,5.420288407,77.88002754,280.381,
38,906,427730490,5019.0,166.044,352.2741211,71.50636448,144.717,0.492
39,193,431899140,7962.95,130.456,56.22254722,45.50719075,710.919,26.476
40,51,435680451,6156.0,262.277,17.91396521,79.16558516,174.195,0.763
41,232,445805961,5675.0,125.767,94.28275636,76.21078059,81.2271,0.17695
42,203,470315428,,,64.64835019,52.86494749,222.358,50.771
